movie1,movie2,Plot:LDA,Plot:cos,Genre:Jacc,similarity
111362,112556,0.1772753,0.2635231,0.0,0.40764887945
111362,112623,0.820100008904278,0.269679944985297,0.333333333333333,0.5257725642144041
111362,114935,0.02366027,0.3590924,0.2,0.4287845870499999
111362,115149,0.03414051,0.2169305,0.2,0.4266926948
111362,116823,0.169507533028625,0.298142396999972,0.4,0.4689577666449681
111362,1193,0.06052837,0.2177324,0.0,0.3626461140999999
111362,1214,0.1914114,0.3864448,0.3333333,0.35178887585
111362,122886,0.022357108722721,0.210818510677892,1.0,0.4889180797802405
111362,122904,0.620221593875807,0.294595972115687,0.4,0.4618496740746578
111362,136864,0.434591840218508,0.263523138347365,0.75,0.569525435608264
111362,168252,0.386382815975961,0.324576330373432,0.4,0.4779997467975912
111362,2959,0.4550993,0.2252415,0.0,0.3855475688
111362,3114,0.1465444,0.1221322,0.0,0.3756727124
111362,364,0.04073778,0.166091,0.0,0.3842240527
111362,595,0.05828774,0.3835706,0.125,0.41367133965
111362,86880,0.629524045011125,0.347524023428458,0.75,0.5155192179340757
111362,88140,0.0166563803124782,0.393291701632643,0.75,0.500857562660052
112556,122904,0.1952309,0.328798,0.0,0.39642435575
112556,2959,0.278697961374686,0.169975025912521,0.333333333333333,0.4695695890080239
112623,112556,0.07136024,0.2132007,0.4,0.4353432575999999
112623,115149,0.02978735,0.292509,0.5,0.45157996585
112623,122904,0.4747918,0.2803999,0.1666667,0.4301177617999999
112623,2959,0.6286105,0.2277867,0.25,0.4145259965999999
112623,3114,0.08462128,0.22938,0.0,0.37572169475
112623,595,0.03772364,0.3717422,0.0,0.4066119889999999
112623,88140,0.0150485695247194,0.380442955126341,0.4,0.4836762358010275
114935,112556,0.03492253,0.3649982,0.25,0.4553639361499999
114935,112623,0.0214128651253512,0.345857231933037,0.5,0.4605975031634595
114935,115149,0.691471325449564,0.250386697833596,0.333333333333333,0.4823091696227464
114935,122904,0.2286597,0.333363,0.0,0.3984452988499999
114935,168252,0.0244655528520848,0.359024561106316,0.25,0.4799479080485561
114935,2959,0.0215373,0.2521014,0.0,0.36793035225
114935,3114,0.01604951,0.2148086,0.0,0.3542618077
114935,595,0.01863581,0.4427271,0.0,0.37240348635
114935,88140,0.661197549838474,0.407894736842105,0.25,0.4336214668575361
115149,112556,0.0446716697610003,0.171498585142509,0.25,0.4741321248466463
115149,122904,0.3377155,0.2255535,0.25,0.3911923043499999
115149,2959,0.03141878,0.06662966,0.0,0.38718668875
115149,3114,0.02238729,0.1135466,0.0,0.3655145649500001
115149,88140,0.947589711177326,0.278207442037329,0.25,0.4591985529070282
116823,112556,0.1431306,0.265165,0.2,0.3888905467
116823,112623,0.2935183,0.2261335,0.4,0.44107988335
116823,114935,0.0997373981273364,0.315446634072022,0.666666666666667,0.422381397432745
116823,115149,0.03519986,0.1819017,0.25,0.3904340813999999
116823,1193,0.3970131,0.2282177,0.0,0.35274479395
116823,1214,0.1091167,0.4390271,0.4,0.35411713965
116823,122904,0.1028336,0.2906191,0.2,0.4187040909
116823,136864,0.04683939,0.2357023,0.2,0.4287509093
116823,168252,0.1963581,0.3061862,0.2,0.41800784255
116823,2959,0.218874,0.1717007,0.0,0.3550893002
116823,3114,0.03144164,0.05852057,0.0,0.34873003085
116823,364,0.04977845,0.09284767,0.0,0.35884967145
116823,595,0.03466722,0.4556478,0.0,0.3741392112
116823,88140,0.02765738,0.3154466,0.5,0.4556743157
1193,112556,0.1479112,0.1613743,0.3333333,0.3742867106
1193,112623,0.08570679,0.2201928,0.25,0.38144011455
1193,114935,0.01630985,0.2303696,0.0,0.3498740454999999
