movie1,movie2,Plot:LDA,Plot:cos,Genre:Jacc,similarity
1,1240,0.01413723,0.176256,0.0,0.37402085225
1,3114,0.593477747676576,0.354833097377287,1.0,0.7773982107146475
1,49272,0.01427417,0.3039216,0.0,0.36279645275
1,63992,0.03703772,0.2035491,0.0,0.350903187
1,78499,0.673841367672672,0.290287857392267,1.0,0.7099647497984997
1,79132,0.267322,0.1970602,0.0,0.3534166048999999
1240,3114,0.01175666,0.196284,0.0,0.3750781196
1240,49272,0.05766668,0.4067446,0.5,0.4269855321
1240,78499,0.150286,0.3662335,0.0,0.3719590715999999
1240,79132,0.083568219136988,0.363361046343716,0.6,0.4829482607847873
2706,1,0.02637727,0.133337,0.25,0.35865930095
2706,1240,0.01485442,0.1912254,0.0,0.3636874320499999
2706,3114,0.01809731,0.1429885,0.25,0.385663392
2706,49272,0.1468334,0.1777827,0.0,0.36722268485
2706,63992,0.3014986,0.2278472,0.2,0.38529536765
2706,78499,0.06437532,0.1693109,0.25,0.3682796175
2706,79132,0.03119701,0.2290677,0.0,0.34453671495
2706,8957,0.1260866,0.2013752,0.0,0.37919641105
3114,78499,0.611624431537404,0.353899164163047,1.0,0.7820678311205095
45517,1,0.0487349508138219,0.269638244408538,0.75,0.4355089559738387
45517,1240,0.008377956,0.4863799,0.0,0.3515398586
45517,2706,0.01700068,0.1417268,0.2,0.3752247691
45517,3114,0.0246302599953457,0.181036716342822,0.75,0.4493895190121125
45517,49272,0.008745055,0.4376737,0.1666667,0.4171009917499999
45517,63992,0.173314453029436,0.441728347924856,0.142857142857143,0.4097742571100215
45517,78499,0.0130321402161588,0.401931252383028,0.75,0.4479767500573803
45517,79132,0.2432213,0.3383578,0.125,0.33635644395
45517,8957,0.1006484,0.2921412,0.0,0.4102133695
49272,3114,0.1542503,0.350102,0.0,0.3902132913000001
49272,78499,0.07319129,0.4074216,0.0,0.3940563908
63992,1240,0.01483093,0.3961774,0.0,0.3846521544999999
63992,3114,0.01819655,0.2510253,0.0,0.3632987241
63992,49272,0.06400427,0.4297147,0.1666667,0.4150753834999999
63992,78499,0.02317654,0.3994475,0.0,0.3735428686
63992,79132,0.4320746,0.4545961,0.125,0.3948281497999999
79132,3114,0.09038254,0.2779727,0.0,0.3582473468000001
79132,49272,0.473130972150913,0.424437343813583,0.6,0.4504886029804697
79132,78499,0.1135022,0.2834734,0.0,0.3683816043
8957,1,0.2427143,0.2165464,0.0,0.3260488135999999
8957,1240,0.0280038,0.245718,0.0,0.3180677466
8957,3114,0.1028507,0.1768452,0.0,0.3562561819000001
8957,49272,0.02274024,0.3442532,0.0,0.3804358506
8957,63992,0.2590906,0.3330324,0.0,0.3784768337500001
8957,78499,0.1290068,0.2941987,0.0,0.3791934419
8957,79132,0.2689631,0.3434014,0.1428571,0.3340357365999999
