movie1,movie2,Plot:LDA,Plot:cos,Genre:Jacc,similarity
136864,33794,0.3546508,0.2362278,0.2,0.45152591675
1377,136864,0.535385056242766,0.331956864961941,0.666666666666667,0.4582014756340582
1377,33794,0.43866072160397,0.416025147168922,0.25,0.5392835535779661
1377,58559,0.500130520715562,0.505397261359842,0.2,0.45078058952666
58559,136864,0.3017244,0.3214122,0.1666667,0.43337361605
58559,33794,0.47780173101098,0.510226007287356,0.75,0.5907365290097115
91529,136864,0.4336619,0.266008,0.1666667,0.4027239357499999
91529,1377,0.613986381547598,0.517143911626698,0.2,0.4350193863314761
91529,33794,0.501438539104891,0.438726797685666,0.75,0.6123560688857489
91529,58559,0.494423256402228,0.550297479754765,1.0,0.7102339361878537
