movie1,movie2,Plot:LDA,Plot:cos,Genre:Jacc,similarity
1,106489,0.01852246,0.2559453,0.0,0.3300510794999999
1,118696,0.04257328,0.2788213,0.0,0.35232044875
1,2011,0.1435823,0.25356,0.4,0.3961151295999999
1,2410,0.07939927,0.2255535,0.0,0.3873123801499999
1,2411,0.06622707,0.1455808,0.0,0.3453819694999999
1,260,0.01209037,0.3062475,0.0,0.35794965305
1,3114,0.593477747676576,0.354833097377287,1.0,0.7773982107146475
1,33794,0.023812,0.2430764,0.0,0.3307809576
1,4993,0.1136614,0.2831963,0.0,0.3761738111
1,78499,0.673841367672672,0.290287857392267,1.0,0.7099647497984997
1,8636,0.04254274,0.2503867,0.0,0.3697571423
1,91500,0.1133457,0.3018222,0.0,0.36434329725
1,98809,0.02011603,0.2495671,0.0,0.35148985135
106487,1,0.0763828,0.1851329,0.0,0.3303230909
106487,106489,0.046729591164151,0.297841698590635,0.25,0.5315077676674493
106487,108190,0.376004425756397,0.261521127728027,1.0,0.5319315037428871
106487,110553,0.115830103220358,0.30082295022544,0.5,0.4592028140364916
106487,116823,0.831779535043747,0.404111929560243,0.5,0.7297407678020763
106487,118696,0.0370913614515707,0.406695066257582,0.5,0.491374302464066
106487,122886,0.293143677449653,0.301625301625452,0.75,0.5567006403563939
106487,1377,0.0118992362142938,0.452649845146596,0.25,0.44729745767568
106487,2011,0.104761294571118,0.261244075675309,0.4,0.4500668850209882
106487,2012,0.0326234,0.369866,0.4,0.4091786681499999
106487,2410,0.01699204,0.3236197,0.0,0.3217500932
106487,2411,0.08737378,0.1694113,0.0,0.3474262723
106487,2571,0.0191711638235843,0.39370039370059,0.666666666666667,0.4627705574740961
106487,260,0.009268293,0.3719289,1.0,0.4071526126
106487,2706,0.01635888,0.2303939,0.0,0.3889891199
106487,3114,0.0402122,0.1051061,0.0,0.34332783195
106487,33794,0.03616703,0.3360108,0.2,0.41053806935
106487,4718,0.03003798,0.2275367,0.0,0.36438186965
106487,4993,0.08274201,0.4103135,0.5,0.4115076473499999
106487,52722,0.01213519,0.1667764,0.5,0.40842079985
106487,5349,0.02431272,0.1236128,0.25,0.3605717406000001
