,userId,movieId,rating,timestamp
23,2,47,4.0,835355552
49,2,296,4.0,835355395
59,2,364,3.0,835355604
89,2,589,5.0,835355697
100,3,296,4.5,1298862418
109,3,595,2.0,1298923260
130,3,2959,5.0,1298862874
134,3,5349,3.0,1298923266
136,3,6377,3.0,1298922080
137,3,7153,2.5,1298921787
154,4,260,5.0,949779042
156,4,296,5.0,949895708
161,4,364,5.0,949949538
172,4,541,5.0,949779091
174,4,589,5.0,949919938
180,4,858,5.0,949779022
204,4,1198,5.0,949779173
210,4,1214,5.0,949810261
216,4,1240,5.0,949896244
222,4,1270,5.0,949811523
360,5,364,4.0,1163373752
367,5,595,4.0,1163374190
370,5,858,2.5,1163373651
375,5,1193,3.0,1163374173
405,5,3114,3.5,1163374263
423,5,5349,4.5,1163373606
431,5,6377,4.0,1163373626
482,6,3114,4.0,1109258183
487,6,5952,5.0,1108134311
489,6,7153,5.0,1108134519
495,7,1,3.0,851866703
508,7,260,5.0,851869062
518,7,364,3.0,851868020
526,7,541,4.0,851869035
529,7,589,3.0,851869140
533,7,595,3.0,851868044
544,7,924,4.0,851868289
556,7,1198,5.0,851869035
562,7,1240,4.0,851869062
564,7,1270,3.0,851867436
585,8,47,5.0,1154464836
588,8,260,3.5,1154464829
590,8,296,4.0,1154465380
598,8,589,4.0,1154464853
602,8,858,5.0,1154400181
605,8,1198,4.0,1154464730
612,8,1270,4.0,1154464747
648,8,2959,4.0,1154464901
660,8,4886,3.5,1154464808
661,8,4896,3.5,1154400398
664,8,4993,3.5,1154464819
673,8,5952,4.0,1154464762
675,8,6377,4.0,1154389474
681,8,7153,4.0,1154464753
691,8,33794,4.5,1154464726
699,9,1,4.0,938629179
703,9,47,3.0,938628897
757,10,1198,4.0,942767258
761,10,1240,4.0,942767258
794,11,296,5.0,1391658423
814,11,79132,4.0,1391658115
821,11,91529,4.5,1391658125
823,11,96079,4.0,1391658186
825,11,97938,4.0,1391657610
826,11,104841,5.0,1391658157
853,12,2959,4.0,968045407
889,13,1,5.0,1331380058
890,13,47,2.5,1331380914
893,13,296,3.5,1331380895
918,13,3114,3.0,1331380738
928,13,4886,3.5,1331380834
929,13,4993,4.5,1331380883
931,13,6377,4.5,1331380734
940,13,88125,4.5,1331380390
954,14,3114,4.0,976244591
962,15,1,2.0,997938310
980,15,47,5.0,1054449816
1032,15,260,5.0,997938437
1037,15,296,5.0,997938771
1056,15,364,4.0,997939065
1091,15,541,5.0,997938438
1102,15,589,4.0,997938451
1140,15,858,5.0,997938703
1157,15,924,5.0,997938358
1195,15,1193,5.0,997938760
1198,15,1198,4.0,997939111
1212,15,1214,4.0,997938203
1228,15,1240,3.0,997938451
1248,15,1270,5.0,997938451
1549,15,2959,5.0,997938894
1583,15,3114,1.0,1033344983
1857,15,4886,5.0,1033344055
1860,15,4896,1.0,1040206325
1872,15,4993,5.0,1033343815
1891,15,5218,1.0,1033344044
1911,15,5349,1.0,1039243048
1946,15,5618,1.5,1084489317
1965,15,5952,5.0,1040448133
1997,15,6377,1.0,1061496771
2009,15,6539,3.5,1061496766
2057,15,7153,1.5,1075142916
2121,15,8957,3.0,1134522096
2123,15,8961,2.0,1101423869
2153,15,33794,4.5,1120208603
2156,15,34150,1.0,1416119744
2192,15,45722,2.0,1416120304
2210,15,49272,4.0,1222578063
2222,15,52722,1.5,1338699286
2229,15,54001,2.0,1416119677
2255,15,59315,4.5,1216576545
2305,15,68954,2.0,1338698886
2328,15,72998,4.0,1261944230
2342,15,77561,1.0,1316395588
2348,15,79132,5.0,1316395554
2384,15,86332,1.0,1316395573
2400,15,88125,3.0,1416120053
2402,15,88140,1.0,1348976202
2405,15,88744,4.5,1316395487
2411,15,89745,3.0,1338697857
2426,15,91529,3.0,1345350956
2456,15,95510,3.5,1345350961
2459,15,96079,3.0,1361831420
2470,15,97938,2.5,1389482906
2473,15,98809,0.5,1416119923
2477,15,99114,1.5,1425876390
2496,15,102125,2.0,1389482894
2502,15,103228,5.0,1379040901
2511,15,104841,3.5,1386367735
2514,15,106072,2.0,1443384429
2532,15,109487,3.5,1425875392
2536,15,110102,4.0,1416120131
2542,15,111360,1.0,1425875482
2543,15,111362,3.5,1416120099
2548,15,111781,4.5,1443384269
2550,15,112171,2.5,1425875460
2551,15,112183,2.0,1426110071
2554,15,112556,4.5,1425875403
2555,15,112623,4.0,1407125273
2557,15,112852,4.5,1416119564
2563,15,114180,1.0,1465793290
2565,15,115149,4.0,1425875463
2567,15,115569,5.0,1425875406
2569,15,115713,3.5,1443384091
2571,15,116797,0.5,1425875401
2573,15,116823,0.5,1425875449
2578,15,118696,1.5,1443384307
2581,15,120466,1.5,1443384294
2585,15,122882,1.0,1443384389
2586,15,122886,3.5,1458505928
2588,15,122892,3.0,1443384000
2589,15,122900,3.0,1443384283
2591,15,122904,1.0,1458505916
2592,15,122920,3.0,1465793115
2598,15,130490,0.5,1465794100
2600,15,130634,2.0,1458506081
2609,15,134853,1.0,1458505921
2614,15,136020,3.0,1458506089
2616,15,136864,3.0,1465793719
2642,15,152081,3.0,1460076733
2685,16,5349,3.0,1137577776
2696,17,47,5.0,1127469246
2707,17,260,3.5,1127474688
2710,17,296,5.0,1127469297
2721,17,541,5.0,1127469561
2730,17,858,5.0,1127469000
2740,17,924,4.5,1127469594
2756,17,1193,4.5,1127469556
2769,17,1240,3.0,1127474779
2783,17,1270,4.5,1127469473
2862,17,2959,5.0,1127469609
2910,17,4886,3.5,1127473495
2911,17,4896,0.5,1127470004
2916,17,4993,4.5,1127469643
2930,17,5349,1.5,1127469195
2950,17,5952,4.5,1127469753
2998,17,7153,4.5,1127470693
3034,17,8957,3.0,1127471549
3077,18,260,3.0,856007075
3105,19,1,3.0,855190091
3128,19,47,5.0,855191517
3181,19,260,4.0,855190199
3192,19,296,5.0,855191226
3219,19,364,3.0,855195078
3281,19,541,4.0,855191622
3290,19,589,3.0,855191383
3295,19,595,5.0,855195077
3324,19,858,5.0,855191478
3341,19,924,4.0,855191289
3405,19,1193,4.0,855191478
3408,19,1198,4.0,855191430
3421,19,1214,4.0,855191584
3438,19,1240,4.0,855191383
3461,19,1270,5.0,855192178
3528,20,1,3.5,1238729767
3537,20,260,1.5,1224043057
3538,20,296,0.5,1238729735
3543,20,364,3.5,1238729826
3555,20,595,4.0,1238729816
3564,20,858,2.0,1238729822
3574,20,1198,4.5,1238729807
3580,20,1270,3.5,1238729811
3594,20,2959,0.5,1224043052
3600,20,4993,4.0,1224043029
3602,20,5618,3.5,1224043145
3608,20,7153,4.0,1224043033
3632,21,47,4.0,853846400
3639,21,260,3.0,853846669
3643,21,296,3.0,853846400
3660,21,541,3.0,853846813
3665,21,589,5.0,853846400
3670,21,595,3.0,853846511
3678,21,858,4.0,853850728
3690,21,924,4.0,853848314
3722,21,1193,3.0,853850791
3724,21,1198,5.0,853847813
3731,21,1214,4.0,853849211
3740,21,1240,5.0,853848082
3751,21,1270,4.0,853849003
3790,22,47,3.5,1131662466
3801,22,260,4.0,1131663354
3803,22,296,5.0,1131664320
3811,22,541,4.5,1131664363
3817,22,589,5.0,1131663268
3823,22,858,4.0,1131662354
3830,22,1198,5.0,1131663397
3835,22,1214,3.5,1131663188
3837,22,1240,4.0,1131662287
3840,22,1270,4.0,1131663366
3907,22,2959,4.0,1131663892
3953,22,4886,4.0,1131661901
3954,22,4896,3.5,1131662103
3957,22,4993,5.0,1131662640
3962,22,5349,5.0,1131662096
3972,22,5952,4.5,1131662637
3979,22,6539,4.0,1131663881
3987,22,7153,4.0,1131662007
3999,22,8957,4.5,1131663282
4000,22,8961,3.5,1131663378
4006,22,33794,3.0,1131662462
4008,23,1,3.0,1148729853
4017,23,47,4.5,1148669590
4037,23,260,4.5,1148668970
4042,23,296,4.5,1148671517
4070,23,541,3.0,1148668958
4073,23,589,3.5,1149868397
4077,23,595,4.5,1148672375
4093,23,858,5.0,1148670263
4110,23,924,3.5,1148729982
4150,23,1193,4.5,1148670482
4153,23,1198,4.5,1148670494
4181,23,1240,3.5,1148730410
4201,23,1270,4.5,1148729820
4373,23,2959,3.5,1148778865
4391,23,3114,3.5,1148669703
4496,23,4886,3.5,1148730186
4497,23,4896,3.5,1148673770
4507,23,4993,4.0,1148670407
4526,23,5349,2.0,1148670299
4541,23,5618,3.5,1148670503
4555,23,5952,4.0,1148670412
4575,23,6377,3.5,1148670511
4580,23,6539,4.5,1148729602
4631,23,7153,4.5,1148386181
4698,23,33794,3.5,1148730017
