movie1,movie2,similarity,Genre:Jacc,Plot:LDA,Plot:cos
1,103228,0.3324598404,0.0,0.01386894,0.27511
1,104841,0.3542961680499999,0.0,0.06637953,0.2171358
1,109487,0.34701514355,0.0,0.0756626,0.2252117
1,111360,0.33357197525,0.0,0.1823523,0.1189129
1,112171,0.3299270548,0.0,0.2043392,0.2337132
1,112183,0.32926225995,0.25,0.02164965,0.2074131
1,112556,0.3744899535,0.0,0.03781023,0.1714986
1,112623,0.3658044422000001,0.0,0.1725237,0.2376635
1,112852,0.3500507243999999,0.0,0.1805636,0.1455808
1,114180,0.31748786155,0.0,0.02964098,0.1540103
1,114935,0.3468202753999999,0.0,0.01840944,0.2503867
1,115149,0.3624697334999999,0.0,0.0305913,0.1470588
1,115210,0.36565985,0.0,0.008067147,0.3194217
1,115569,0.3467437421,0.0,0.2175758,0.2743977
1,115713,0.3168592180499999,0.0,0.01727181,0.2462051
1,116797,0.3545915696,0.0,0.0919936,0.25
1,118696,0.35232044875,0.0,0.04257328,0.2788213
1,1193,0.3224390810999999,0.0,0.0633224,0.1549826
1,120466,0.30535771735,0.0,0.09844214,0.2679266
1,1214,0.2541928094,0.0,0.01477707,0.2028185
1,122882,0.3691268612,0.0,0.2956979,0.2720588
1,122892,0.3601241897999999,0.0,0.1174399,0.2952275
1,122904,0.34215706855,0.2,0.1947955,0.1973594
1,122918,0.3735475682499999,0.1666667,0.0358569,0.1626978
1,122920,0.3259885191,0.0,0.1323353,0.1897861
1,1240,0.37402085225,0.0,0.01413723,0.176256
1,1270,0.43105253245,0.4,0.1201494,0.2847212
1,130634,0.3155585193999999,0.0,0.03999241,0.1819017
1,134853,0.4734230837644622,0.75,0.0401322236683645,0.212572730554512
1,136864,0.3661182712,0.0,0.4626399,0.1286239
1,143355,0.3873855647500001,0.0,0.2470922,0.2805418
1,168252,0.37707299875,0.0,0.2531091,0.2640393
1,260,0.35794965305,0.0,0.01209037,0.3062475
1,2959,0.3555816370999999,0.0,0.0801866,0.1665742
1,296,0.36560047175,0.0,0.03727104,0.1787996
1,3114,0.7773982107146475,1.0,0.593477747676576,0.354833097377287
1,33794,0.3307809576,0.0,0.023812,0.2430764
1,364,0.4897291587690738,0.5,0.0567903808328017,0.180150939644418
1,45722,0.34780401005,0.0,0.2827419,0.1517165
1,4886,0.4777082942936376,1.0,0.27409381884028,0.232210182006412
1,4896,0.3940757694,0.2,0.02020978,0.3267487
1,49272,0.36279645275,0.0,0.01427417,0.3039216
1,4993,0.3761738111,0.0,0.1136614,0.2831963
1,5218,0.4182243950999999,0.75,0.02045921,0.2462576
1,54001,0.3364729360499999,0.1666667,0.02100597,0.2240448
1,541,0.3427087212499999,0.0,0.06692542,0.1944611
1,5618,0.38651070735,0.5,0.1755612,0.1084652
1,589,0.3435074937499999,0.0,0.02095372,0.2415341
1,59315,0.3288078709499999,0.0,0.06810061,0.1034175
1,595,0.4165456797500001,0.3333333,0.02014926,0.2340229
1,6377,0.4339345718,0.6666667,0.1399306,0.1777827
1,63992,0.350903187,0.0,0.03703772,0.2035491
1,68954,0.41597406915,0.75,0.2488614,0.1629674
1,77561,0.3573170276,0.0,0.2337256,0.313914
1,79132,0.3534166048999999,0.0,0.267322,0.1970602
1,858,0.3386163765,0.0,0.01903227,0.2464027
1,86332,0.35986310955,0.0,0.03857855,0.2275748
1,88140,0.32011172655,0.0,0.02448141,0.2086556
1,8961,0.4484706992,0.4,0.07419633,0.2475369
1,97938,0.35608933835,0.0,0.05801953,0.181527
1,98809,0.35148985135,0.0,0.02011603,0.2495671
102125,1,0.37891800425,0.0,0.3224949,0.1292719
102125,103228,0.4697796179990462,1.0,0.0173527940211233,0.313732191369601
102125,103335,0.42462913975,0.0,0.3911358,0.2132007
102125,104841,0.4079810135,0.2,0.1726889,0.2323671
102125,106072,0.5017440643451548,0.5,0.184545481346171,0.192847303959968
102125,106696,0.4987726804155845,0.2,0.64128321339452,0.21726204731337
102125,109487,0.4226268911500001,0.5,0.04491679,0.3045725
102125,110102,0.517535457557875,1.0,0.173077765249175,0.321998157660612
102125,111360,0.38997900825,0.6666667,0.09095495,0.1672484
102125,111362,0.5340407389292634,0.75,0.76484017314189,0.190692517849119
102125,111781,0.4545245455499999,0.5,0.153871,0.1484539
102125,112171,0.4346277245,0.2,0.5696462,0.2528558
102125,112175,0.4695888465314756,0.285714285714286,0.041415277236401,0.337447277981401
102125,112183,0.3789872417500001,0.0,0.03258217,0.1823263
102125,112556,0.42039001895,0.0,0.1821929,0.2261335
102125,112623,0.4826118560184561,0.4,0.46178209397294,0.192847303959968
102125,112852,0.5154214717493377,1.0,0.2645151219465,0.219381727238139
102125,114180,0.4950922426117964,0.4,0.072317319124673,0.189535626375859
