movie1,movie2,similarity,Genre:Jacc,Plot:LDA
1,103228,0.3324598404,0.0,0.01386894
1,104841,0.3542961680499999,0.0,0.06637953
1,109487,0.34701514355,0.0,0.0756626
1,111360,0.3335719752499999,0.0,0.1823523
1,112171,0.3299270548,0.0,0.2043392
1,112183,0.32926225995,0.25,0.02164965
1,112556,0.3744899534999999,0.0,0.03781023
1,112623,0.3658044422000001,0.0,0.1725237
1,112852,0.3500507244,0.0,0.1805636
1,114180,0.3174878615500001,0.0,0.02964098
1,114935,0.3468202753999999,0.0,0.01840944
1,115149,0.3624697334999999,0.0,0.0305913
1,115210,0.36565985,0.0,0.008067147
1,115569,0.3467437421,0.0,0.2175758
1,115713,0.3168592180499999,0.0,0.01727181
1,116797,0.3545915696,0.0,0.0919936
1,118696,0.3523204487499999,0.0,0.04257328
1,1193,0.3224390810999999,0.0,0.0633224
1,120466,0.30535771735,0.0,0.09844214
1,1214,0.2541928094,0.0,0.01477707
1,122882,0.3691268612,0.0,0.2956979
1,122892,0.3601241897999999,0.0,0.1174399
1,122904,0.34215706855,0.2,0.1947955
1,122918,0.3735475682499999,0.1666667,0.0358569
1,122920,0.3259885191,0.0,0.1323353
1,1240,0.37402085225,0.0,0.01413723
1,1270,0.4310525324499999,0.4,0.1201494
1,130634,0.3155585194,0.0,0.03999241
1,134853,0.4734230837644621,0.75,0.0401322236683645
1,136864,0.3661182712,0.0,0.4626399
1,143355,0.38738556475,0.0,0.2470922
1,168252,0.37707299875,0.0,0.2531091
1,260,0.35794965305,0.0,0.01209037
1,2959,0.3555816371,0.0,0.0801866
1,296,0.3656004717500001,0.0,0.03727104
1,3114,0.7773982107146477,1.0,0.593477747676576
1,33794,0.3307809576,0.0,0.023812
1,364,0.4897291587690739,0.5,0.0567903808328017
1,45722,0.34780401005,0.0,0.2827419
1,4886,0.4777082942936375,1.0,0.27409381884028
1,4896,0.3940757694,0.2,0.02020978
1,49272,0.36279645275,0.0,0.01427417
1,4993,0.3761738111,0.0,0.1136614
1,5218,0.4182243951,0.75,0.02045921
1,54001,0.3364729360499999,0.1666667,0.02100597
1,541,0.3427087212499999,0.0,0.06692542
1,5618,0.38651070735,0.5,0.1755612
1,589,0.3435074937499999,0.0,0.02095372
1,59315,0.3288078709499999,0.0,0.06810061
1,595,0.4165456797500001,0.3333333,0.02014926
1,6377,0.4339345717999999,0.6666667,0.1399306
1,63992,0.350903187,0.0,0.03703772
1,68954,0.4159740691499999,0.75,0.2488614
1,77561,0.3573170276,0.0,0.2337256
1,79132,0.3534166048999999,0.0,0.267322
1,858,0.3386163765,0.0,0.01903227
1,86332,0.3598631095499999,0.0,0.03857855
1,88140,0.32011172655,0.0,0.02448141
1,8961,0.4484706991999999,0.4,0.07419633
1,97938,0.35608933835,0.0,0.05801953
1,98809,0.35148985135,0.0,0.02011603
102125,1,0.37891800425,0.0,0.3224949
102125,103228,0.4697796179990461,1.0,0.0173527940211233
102125,103335,0.4246291397500001,0.0,0.3911358
102125,104841,0.4079810135,0.2,0.1726889
102125,106072,0.5017440643451548,0.5,0.184545481346171
102125,106696,0.4987726804155846,0.2,0.64128321339452
102125,109487,0.4226268911500001,0.5,0.04491679
102125,110102,0.517535457557875,1.0,0.173077765249175
